	S1.LPAEC_IPAH_ST019	S2.iPSEC_IPAH_ST019	S3.LPAEC_IPAH_ST020	S4.iPSEC_IPAH_ST020	S5.SPAEC_IPAH_ST026	S6.iPSEC_IPAH_ST026	S7.SPAEC_IPAH_ST037	S8.iPSEC_IPAH_ST037	S9.LPAEC_BMPR2_Mut_VA010	S10.iPSEC_BMPR2_Mut_VA010	S11.SPAEC_BMPR2_Mut_BA035	S12.iPSEC_BMPR2_Mut_BA035	S13.SPAEC_Control_BA054	S14.iPSEC_Control_BA054	S15.SPAEC_Control_BA060	S16.iPSEC_Control_BA060	S17.SPAEC_Control_AH018	S18.iPSEC_Control_AH018	S19.LPAEC_Control_AH022	S20.iPSEC_Control_AH022	S21.SPAEC_Control_AH027	S22.iPSEC_Control_AH027	S23.LPAEC_Control_AH028	S24.iPSEC_Control_AH028
ENSG00000000003.10	2329	5875	3402	5919	2122	1599	2297	2419	3418	4516	3295	1758	2360	4581	3229	4452	2590	2126	2816	5710	2081	5817	2952	4078
ENSG00000000005.5	0	2	1	4	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.8	1701	2154	1871	1676	1377	2231	1818	2391	1433	1860	2199	1729	2138	2178	1572	1616	1742	2436	2251	1681	1897	2124	2484	1740
ENSG00000000457.9	387	864	438	642	372	644	460	809	387	581	415	563	452	746	483	664	433	607	554	731	453	873	525	695
ENSG00000000460.12	298	638	202	344	256	1328	405	624	244	366	510	1252	429	647	352	377	445	1564	657	464	378	602	623	416
ENSG00000000938.8	1	334	1	3	12	19	5	0	8	0	6	17	8	1	11	2	2	25	2	6	5	3	8	10
ENSG00000000971.11	7053.43	112	10374.77	80	17986.6	6.43	4216.43	1417.63	10756.68	14949.64	5079.07	5.52	3570.12	58	11719.25	1119	3379.14	4	10751.2	832	6981.81	246.69	5574.65	89
ENSG00000001036.9	4077	4452	4722	2776	3508	6171	4073	3053	3523	3263	4428	5141	3713	4625	3182	2818	3740	6684	4142	2717	3678	3114	4422	3724
ENSG00000001084.6	1408	2197	1350	962	977	1035	1461	970	1304	1147	1395	812	1286	1369	1349	1481	1523	1064	1306	1434	1294	1535	1677	1431
ENSG00000001167.10	1255	1703	667	1030	612	664	918	1126	743	1074	1143	643	925	962	1064	1237	1024	492	1027	1403	1024	1438	926	1203
ENSG00000001460.13	445	377	365	235	283	572	197	284	237	225	277	362	302	292	186	210	223	366	314	213	417	183	452	237
ENSG00000001461.12	2405	2141	3322	1309	2192	5197	1219	1016	1984	1192	1531	3628	1538	1145	1778	1666	1257	3018	1667	1494	2073	1005	2072	1231
ENSG00000001497.12	903	1059	926	910	747	1762	1000	1156	998	1211	898	1415	1065	1647	892	939	945	1273	1143	1120	1050	1261	1238	1095
ENSG00000001561.6	1162	1152	278	810	900	18	455	787	75	656	350	14	620	1185	530	955	512	5	246	531	470	776	504	688
ENSG00000001617.7	12863	13655	14050	1689	5913	396	7627	3853	7920	2894	9365	689	7446	4650	4499	2754	6133	1245	11495	2606	7687	2850	6293	3989
ENSG00000001626.10	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0
ENSG00000001629.5	4868	5272	5431	4335	3928	2767	3728	3237	3936	4664	4158	3156	3434	4580	4552	4268	4429	3472	3943	4123	4109	4372	5231	4201
ENSG00000001630.11	3536.98	6419.3	4221.9	4246.84	3603.97	4977.98	3608.76	7552.89	2683.97	3668.11	3188.17	3425.68	3634.98	9377.87	3753.43	5977.76	3725.4	3472.96	3263.97	3972.44	3437.96	6351.77	3437.48	7762.84
ENSG00000001631.10	1390.35	2150.23	1257.85	1248.44	1245.36	1692.54	1453.58	1411.5	1196.62	1459.61	1479.62	1432.36	1346.47	1644.48	1375.51	1367.41	1314.21	1652.71	1482.79	1578.17	1360.66	1679.39	1501.93	1517.1
ENSG00000002016.12	288	658.53	214.28	218.26	203	462.42	360.11	311	405.44	362	274.17	350	231	380	351.35	382	244	331.37	268	296	285.6	471.2	295.31	432
ENSG00000002079.8	69	9	23	5	6	0	443	20	50	1	213	2	78	8	73	0	79	2	164	0	83	1	56	3
ENSG00000002330.9	2234	2359	2553	2075	2173	1101	2347	1799	2143	2511	2802	1204	2398	2475	2318	1881	2218	1262	2647	1622	2127	2154	2443	1984
ENSG00000002549.8	3817	9347	4097	4290	6866	4816	4418	3766	10443	6610	3291	3834	3390	6374	7741	10458	6108	4091	4137	5899	4027	4445	10314	11510
ENSG00000002586.13	6921	5195	4644.5	5789	5048.5	4050	6632	5595	2323.5	3834.5	7911	3875.5	6134.5	9346.5	7205.5	7335	7754.5	4288	8239.5	6963	5100	7644.5	6578	7795.5
ENSG00000002587.5	32	725	29	197	118	34	174	158	129	100	85	10	192	286	121	101	88	10	145	543	124	55	204	315
ENSG00000002726.15	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000002745.8	0	177	0	0	0	231	0	0	0	0	0	485	0	0	1	0	0	530	0	0	0	0	23	1
ENSG00000002746.10	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	6	0
ENSG00000002822.11	834	1457	967	1231	884	1887	1105	1169	963	1040	898	1253	869	2024	1172	1329	1731	1502	996	1390	1012	1699	1096.99	1407
ENSG00000002834.13	6756	5922	7599	7774	5896	4871	6724	6444	6023	7424	5132	4059	4688	10547	7311	6422	6348	3639	4915	7673	6114	6441	5450	7379
ENSG00000002919.10	779	975	918	889	752	529	859	657	704	635	761	601	846	1061	962	905	922	593	849	831	989	871	906	972
ENSG00000002933.3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056.3	5472	6175	4659	4705	3600	4947	5956	4053	4636	4112	4513	3499	4593	5848	4997	4878	3791	4087	5620	4737	5962	7246	6636	4979
ENSG00000003096.9	953	22	620.02	869.4	1106.41	905.73	522.12	860	686	2024.21	639.72	418	625	1503.53	707	1834.74	367	491.41	734	430	793	3028.85	831.38	635.42
ENSG00000003137.4	300	58	68	2	122	84	62	52	81	74	57	86	51	8	78	10	54	84	56	11	82	17	108	4
ENSG00000003147.13	1575	2495	1429	1950	1572	934	1625	1583	2002	1992	1928	665	1664	2172	2076	2591	2277	1114	1894	2148	1673	2259	1611	2684
ENSG00000003249.9	1114	248	1269	509	522	58	716	497	946	888	1176	145	1091	833	968	547	655	37	935	487	1356	521	759	710
ENSG00000003393.10	3390	3856	2771	2383	2554	3661	3387	2209	2725	2137	3625	3701	2872	2850	3462	2630	3268	4034	3408	2910	3358	2943	3253	2523
ENSG00000003400.10	1143	5196	1098	1025	1864	2334	1614.57	874	2217	2142	1160	2421	1171	1471	2260	3904	2583.56	3354	1298	1851	1368	983	1853	2390
ENSG00000003402.15	9838.69	6807	11386.66	11724	11849.52	4044.51	9529.11	9128	9655.43	10248.08	6916.4	3743.42	7846.02	7980.42	12165.26	5834	9729.32	5312	7185	6862.59	10810.52	6044.91	8767	6749
ENSG00000003436.10	26817	45205	13038	21561	18995	4365	23237	11615	23357	15788	25524	6877	25779	25903	26514	57017	26324	11736	29936	42816	21780	86862	22571	35539
ENSG00000003509.11	1104	1365	1019	1019	791	1450	1048	1058	920	1133	1062	1386	1019	1235	843	1008	955	1566	1280	1175	891	1380	1156	1135
ENSG00000003756.12	3624	8310	4067	5993	4458	5205	4195.75	4696	4717	5702	3914	4286	3491	6966	4979	6898	5280	5197	4543	7497	4040	7655	4463	8020
ENSG00000003987.9	8	0	10	7	5	1	0	9	4	7	11	24	4	7	3	8	16	22	2	2	7	4	8	2
ENSG00000003989.12	2059	122	3158	984	1475	2806	1343	1213	614	1062	2240	3924	1199	1054	995	280	997	1860	2355	1180	1455	1365	1549	240
ENSG00000004059.6	2504.34	4239.13	2250.7	3407	2228	2376.73	3013	2881	2435.75	3018.75	2876.33	2554.73	2825.26	3884.61	2890	3001	3291.77	2866	3793.78	3692.58	2811.59	3690.74	2720	3578
ENSG00000004139.9	51	109	52.39	162.28	175	24.35	69	45.42	53	120	32	13	115.49	131	178	95	73	5.15	141	94.99	37.36	108.85	84	126.49
ENSG00000004142.7	3389	3049	2940	2449	2350	3626	3434	2930	2513	2626	2796	2531	2985	4528	2974	2623	2902	2597	3297	2390	3183	2876	3564	2964
ENSG00000004399.8	18196	39349	11889	30366	20917	14747	16286	21449	20698	28369	9663	9325	8911	35750	20364	28814	16271	7902	11560	46662	14862	28603	15290	38675
ENSG00000004455.12	4558	5673.39	4665	4486.61	3844.84	8774.27	5475.76	5130.27	3799.41	4682.96	5035.32	5903.65	5395.86	6446.86	4385.74	5229.04	5215.76	5508.98	6312.44	4942.03	5166.57	5797.31	5487.6	5076.62
ENSG00000004468.8	11	924	3	1042	30	9	6	320	13	123	5	44	3	912	7	992	27	24	4	1956	0	524	156	2640
