Ensembl_gene	GeneID	Symbol	Alias	Type	Family
ENSG00000005302	10943	MSL3	DKFZp586J1822;MSL3L1	chromatin_remodeling_factorsæ	-
ENSG00000009954	9031	BAZ1B	WBSCR10;WBSCR9;WSTF	chromatin_remodeling_factorsæ	-
ENSG00000010803	22955	SCMH1	Scml3	chromatin_remodeling_factorsæ	-
ENSG00000019485	56981	PRDM11	PFM8	chromatin_remodeling_factorsæ	-
ENSG00000028310	65980	BRD9	DKFZp434D0711;DKFZp686L0539;FLJ43530;LAVS3040;PRO9856	chromatin_remodeling_factorsæ	-
ENSG00000031691	55166	CENPQ	C6orf139;CENP-Q;FLJ10545	chromatin_remodeling_factorsæ	-
ENSG00000048649	51773	RSF1	HBXAP;RSF-1;XAP8;p325	chromatin_remodeling_factorsæ	-
ENSG00000055609	58508	MLL3	DKFZp686C08112;FLJ12625;FLJ38309;HALR;KIAA1506;KMT2C;MGC119851;MGC119852;MGC1198	chromatin_remodeling_factorsæ	-
ENSG00000056661	7703	PCGF2	MEL-18;MGC10545;RNF110;ZNF144	chromatin_remodeling_factorsæ	-
ENSG00000066117	6602	SMARCD1	BAF60A;CRACD1;Rsc6p	chromatin_remodeling_factorsæ	-
ENSG00000066135	9682	KDM4A	JHDM3A;JMJD2;JMJD2A;KIAA0677	chromatin_remodeling_factorsæ	-
ENSG00000068024	9759	HDAC4	AHO3;BDMR;HA6116;HD4;HDAC-A;HDACA;KIAA0288	chromatin_remodeling_factorsæ	-
ENSG00000071794	6596	HLTF	HIP116;HIP116A;HLTF1;RNF80;SMARCA3;SNF2L3;ZBU1	chromatin_remodeling_factorsæ	-
ENSG00000074266	8726	EED	HEED;WAIT1	chromatin_remodeling_factorsæ	-
ENSG00000080503	6595	SMARCA2	BAF190;BRM;FLJ36757;MGC74511;SNF2;SNF2L2;SNF2LA;SWI2;Sth1p;hBRM;hSNF2a	chromatin_remodeling_factorsæ	-
ENSG00000081692	65094	JMJD4	FLJ12517;MGC129896	chromatin_remodeling_factorsæ	-
ENSG00000083168	7994	MYST3	KAT6A;MGC167033;MOZ;RUNXBP2;ZNF220	chromatin_remodeling_factorsæ	-
ENSG00000094916	23468	CBX5	HP1;HP1A	chromatin_remodeling_factorsæ	-
ENSG00000096717	23411	SIRT1	SIR2L1	chromatin_remodeling_factorsæ	-
ENSG00000099381	9739	SETD1A	KIAA0339;KMT2F;Set1;Set1A	chromatin_remodeling_factorsæ	-
ENSG00000099956	6598	SMARCB1	BAF47;INI1;RDT;RTPS1;SNF5;SNF5L1;Sfh1p;Snr1;hSNFS	chromatin_remodeling_factorsæ	-
ENSG00000100261	-	-	-	chromatin_remodeling_factorsæ	-
ENSG00000100307	23492	CBX7	-	chromatin_remodeling_factorsæ	-
ENSG00000100888	57680	CHD8	DKFZp686N17164;HELSNF1;KIAA1564	chromatin_remodeling_factorsæ	-
ENSG00000101945	6839	SUV39H1	KMT1A;MG44;SUV39H	chromatin_remodeling_factorsæ	-
ENSG00000102038	6594	SMARCA1	DKFZp686D1623;FLJ41547;ISWI;NURF140;SNF2L;SNF2L1;SNF2LB;SNF2LT;SWI;SWI2	chromatin_remodeling_factorsæ	-
ENSG00000102054	5931	RBBP7	MGC138867;MGC138868;RbAp46	chromatin_remodeling_factorsæ	-
ENSG00000102098	10389	SCML2	-	chromatin_remodeling_factorsæ	-
ENSG00000102384	2491	CENPI	CENP-I;FSHPRH1;LRPR1;Mis6	chromatin_remodeling_factorsæ	-
ENSG00000104147	11339	OIP5	5730547N13Rik;CT86;LINT-25;MIS18beta;hMIS18beta	chromatin_remodeling_factorsæ	-
ENSG00000104472	54108	CHRAC1	CHARC1;CHARC15;CHRAC15;YCL1	chromatin_remodeling_factorsæ	-
ENSG00000105663	9757	MLL4	HRX2;KIAA0304;MLL2;TRX2;WBP7	chromatin_remodeling_factorsæ	-
ENSG00000106462	2146	EZH2	ENX-1;ENX1;EZH1;KMT6;KMT6A;MGC9169	chromatin_remodeling_factorsæ	-
ENSG00000108468	10951	CBX1	CBX;HP1-BETA;HP1Hs-beta;HP1Hsbeta;M31;MOD1;p25beta	chromatin_remodeling_factorsæ	-
ENSG00000108773	2648	KAT2A	GCN5;GCN5L2;MGC102791;PCAF-b;hGCN5	chromatin_remodeling_factorsæ	-
ENSG00000108799	2145	EZH1	KIAA0388;KMT6B	chromatin_remodeling_factorsæ	-
ENSG00000108840	10014	HDAC5	FLJ90614;HD5;NY-CO-9	chromatin_remodeling_factorsæ	-
ENSG00000109111	6830	SUPT6H	KIAA0162;MGC87943;SPT6;SPT6H;emb-5	chromatin_remodeling_factorsæ	-
ENSG00000110066	51111	SUV420H1	CGI85;KMT5B;MGC118906;MGC118909;MGC21161;MGC703	chromatin_remodeling_factorsæ	-
ENSG00000111642	1108	CHD4	DKFZp686E06161;Mi-2b;Mi2-BETA	chromatin_remodeling_factorsæ	-
ENSG00000111752	1911	PHC1	EDR1;HPH1;RAE28	chromatin_remodeling_factorsæ	-
ENSG00000112477	-	-	-	chromatin_remodeling_factorsæ	-
ENSG00000112526	-	-	-	chromatin_remodeling_factorsæ	-
ENSG00000114166	8850	KAT2B	CAF;P;P/CAF;PCAF	chromatin_remodeling_factorsæ	-
ENSG00000115163	1058	CENPA	CENP-A	chromatin_remodeling_factorsæ	-
ENSG00000115548	55818	KDM3A	DKFZp686A24246;DKFZp686P07111;JHDM2A;JHMD2A;JMJD1;JMJD1A;KIAA0742;TSGA	chromatin_remodeling_factorsæ	-
ENSG00000115561	51652	VPS24	CHMP3;FLJ38114;NEDF	chromatin_remodeling_factorsæ	-
ENSG00000115593	150572	SMYD1	BOP;KMT3D;ZMYND18;ZMYND22	chromatin_remodeling_factorsæ	-
ENSG00000116254	26038	CHD5	DKFZp434N231;KIAA0444	chromatin_remodeling_factorsæ	-
ENSG00000116478	3065	HDAC1	DKFZp686H12203;GON-10;HD1;RPD3;RPD3L1	chromatin_remodeling_factorsæ	-
ENSG00000116539	55870	ASH1L	ASH1;ASH1L1;FLJ10504;KIAA1420;KMT2H	chromatin_remodeling_factorsæ	-
ENSG00000118058	4297	MLL	ALL-1;CXXC7;FLJ11783;HRX;HTRX1;KMT2A;MLL/GAS7;MLL1A;TET1-MLL;TRX1	chromatin_remodeling_factorsæ	-
ENSG00000118245	7141	TNP1	TP1	chromatin_remodeling_factorsæ	-
ENSG00000119969	3070	HELLS	FLJ10339;LSH;PASG;SMARCA6	chromatin_remodeling_factorsæ	-
ENSG00000120733	51780	KDM3B	5qNCA;C5orf7;JMJD1B;KIAA1082;NET22	chromatin_remodeling_factorsæ	-
ENSG00000122565	11335	CBX3	HECH;HP1-GAMMA;HP1Hs-gamma	chromatin_remodeling_factorsæ	-
ENSG00000123219	64105	CENPK	AF5alpha;CENP-K;P33;Solt	chromatin_remodeling_factorsæ	-
ENSG00000123485	55355	HJURP	DKFZp762E1312;FAKTS;URLC9;hFLEG1	chromatin_remodeling_factorsæ	-
ENSG00000123562	9643	MORF4L2	KIAA0026;MORFL2;MRGX	chromatin_remodeling_factorsæ	-
ENSG00000124177	84181	CHD6	CHD5;KIAA1335;RIGB	chromatin_remodeling_factorsæ	-
ENSG00000126856	11105	PRDM7	MGC129525;PFM4;ZNF910	chromatin_remodeling_factorsæ	-
ENSG00000127337	8089	YEATS4	4930573H17Rik;B230215M10Rik;GAS41;NUBI-1;YAF9	chromatin_remodeling_factorsæ	-
ENSG00000127616	6597	SMARCA4	BAF190;BRG1;FLJ39786;RTPS2;SNF2;SNF2-BETA;SNF2L4;SNF2LB;SWI2;hSNF2b	chromatin_remodeling_factorsæ	-
ENSG00000127663	23030	KDM4B	FLJ44906;JMJD2B;KIAA0876	chromatin_remodeling_factorsæ	-
ENSG00000128908	54617	INO80	INO80A;INOC1;hINO80	chromatin_remodeling_factorsæ	-
ENSG00000129534	55320	C14orf106	FLJ11186;HSA242977;KIAA1903;KNL2;MIS18BP1	chromatin_remodeling_factorsæ	-
ENSG00000129691	9070	ASH2L	ASH2;ASH2L1;ASH2L2;Bre2	chromatin_remodeling_factorsæ	-
ENSG00000131778	9557	CHD1L	ALC1;CHDL;FLJ22530	chromatin_remodeling_factorsæ	-
ENSG00000132780	4678	NASP	DKFZp547F162;FLB7527;FLJ31599;FLJ35510;MGC19722;MGC20372;MGC2297;PRO1999	chromatin_remodeling_factorsæ	-
ENSG00000133895	4221	MEN1	MEAI;MENIN;SCG2	chromatin_remodeling_factorsæ	-
ENSG00000136518	86	ACTL6A	ACTL6;ARPN-BETA;Arp4;BAF53A;INO80K;MGC5382	chromatin_remodeling_factorsæ	-
ENSG00000137812	57082	CASC5	AF15Q14;CT29;D40;KIAA1570;KNL1;hKNL-1;hSpc105	chromatin_remodeling_factorsæ	-
ENSG00000137948	676	BRDT	BRD6;CT9	chromatin_remodeling_factorsæ	-
ENSG00000138092	79172	CENPO	CENP-O;ICEN-36;MCM21R;MGC11266	chromatin_remodeling_factorsæ	-
ENSG00000138375	50485	SMARCAL1	HARP;HHARP	chromatin_remodeling_factorsæ	-
ENSG00000139351	50511	SYCP3	COR1;MGC71888;SCP3	chromatin_remodeling_factorsæ	-
ENSG00000139687	5925	RB1	OSRC;RB;p105-Rb;pRb;pp110	chromatin_remodeling_factorsæ	-
ENSG00000139718	23067	SETD1B	FLJ20803;KIAA1076;KMT2G;Set1B	chromatin_remodeling_factorsæ	-
ENSG00000140320	22893	BAHD1	KIAA0945	chromatin_remodeling_factorsæ	-
ENSG00000141570	57332	CBX8	PC3;RC1	chromatin_remodeling_factorsæ	-
ENSG00000141582	8535	CBX4	NBP16;PC2;hPC2	chromatin_remodeling_factorsæ	-
ENSG00000141584	-	-	-	chromatin_remodeling_factorsæ	-
ENSG00000141867	23476	BRD4	CAP;HUNK1;HUNKI;MCAP	chromatin_remodeling_factorsæ	-
ENSG00000142856	23421	ITGB3BP	CENP-R;CENPR;HSU37139;NRIF3;TAP20	chromatin_remodeling_factorsæ	-
ENSG00000143033	22823	MTF2	M96;PCL2;RP5-976O13.1;dJ976O13.2	chromatin_remodeling_factorsæ	-
ENSG00000147099	55869	HDAC8	HD8;HDACL1;RPD3	chromatin_remodeling_factorsæ	-
ENSG00000151725	79682	MLF1IP	CENP50;CENPU;CENPU50;FLJ23468;KLIP1;PBIP1	chromatin_remodeling_factorsæ	-
ENSG00000152455	79723	SUV39H2	FLJ23414;KMT1B	chromatin_remodeling_factorsæ	-
ENSG00000153044	64946	CENPH	-	chromatin_remodeling_factorsæ	-
ENSG00000153147	8467	SMARCA5	ISWI;SNF2H;WCRF135;hISWI;hSNF2H	chromatin_remodeling_factorsæ	-
ENSG00000153922	1105	CHD1	DKFZp686E2337	chromatin_remodeling_factorsæ	-
ENSG00000156650	23522	MYST4	DKFZp313G1618;FLJ90335;KAT6B;KIAA0383;MORF;MOZ2;qkf;querkopf	chromatin_remodeling_factorsæ	-
ENSG00000156802	29028	ATAD2	ANCCA;DKFZp667N1320;MGC131938;MGC142216;MGC29843;MGC5254;PRO2000	chromatin_remodeling_factorsæ	-
ENSG00000158806	10361	NPM2	MGC78655	chromatin_remodeling_factorsæ	-
ENSG00000159055	54069	C21orf45	B28;C21orf46;FASP1;MIS18A;MIS18alpha;hMis18alpha	chromatin_remodeling_factorsæ	-
ENSG00000162227	10629	TAF6L	FLJ11136;MGC4288;PAF65A	chromatin_remodeling_factorsæ	-
ENSG00000162521	5928	RBBP4	NURF55;RBAP48	chromatin_remodeling_factorsæ	-
ENSG00000163159	6944	VPS72	CFL1;Swc2;TCFL1;YL-1;YL1	chromatin_remodeling_factorsæ	-
ENSG00000165819	56339	METTL3	IME4;M6A;MGC4336;MT-A70;Spo8	chromatin_remodeling_factorsæ	-
ENSG00000166164	29117	BRD7	BP75;CELTIX1;NAG4	chromatin_remodeling_factorsæ	-
ENSG00000166451	55839	CENPN	BM039;C16orf60;CENP-N;FLJ13607;FLJ22660	chromatin_remodeling_factorsæ	-
ENSG00000166582	201161	CENPV	3110013H01Rik;CENP-V;PRR6;p30	chromatin_remodeling_factorsæ	-
ENSG00000168283	648	BMI1	FLVI2/BMI1;MGC12685;PCGF4;RNF51	chromatin_remodeling_factorsæ	-
ENSG00000169925	8019	BRD3	FLJ23227;FLJ41328;KIAA0043;ORFX;RING3L	chromatin_remodeling_factorsæ	-
ENSG00000170004	1107	CHD3	Mi-2a;Mi2-ALPHA;ZFH	chromatin_remodeling_factorsæ	-
ENSG00000171634	2186	BPTF	FAC1;FALZ;NURF301	chromatin_remodeling_factorsæ	-
ENSG00000171988	221037	JMJD1C	DKFZp761F0118;FLJ14374;KIAA1380;RP11-10C13.2;TRIP8	chromatin_remodeling_factorsæ	-
ENSG00000173575	1106	CHD2	DKFZp547I1315;DKFZp686E01200;DKFZp781D1727;FLJ38614	chromatin_remodeling_factorsæ	-
ENSG00000175792	8607	RUVBL1	ECP54;INO80H;NMP238;PONTIN;Pontin52;RVB1;TIH1;TIP49;TIP49A	chromatin_remodeling_factorsæ	-
ENSG00000176171	664	BNIP3	NIP3	chromatin_remodeling_factorsæ	-
ENSG00000181163	4869	NPM1	B23;MGC104254;NPM	chromatin_remodeling_factorsæ	-
ENSG00000185787	10933	MORF4L1	Eaf3;HsT17725;MEAF3;MGC10631;MORFRG15;MRG15;S863-6	chromatin_remodeling_factorsæ	-
ENSG00000185917	54093	SETD4	C21orf18;C21orf27	chromatin_remodeling_factorsæ	-
ENSG00000186280	55693	KDM4D	FLJ10251;JMJD2D;MGC141909	chromatin_remodeling_factorsæ	-
ENSG00000188312	401541	CENPP	CENP-P;FLJ33928	chromatin_remodeling_factorsæ	-
ENSG00000188662	-	-	-	chromatin_remodeling_factorsæ	-
ENSG00000196235	6829	SUPT5H	FLJ34157;SPT5;SPT5H;Tat-CT1	chromatin_remodeling_factorsæ	-
ENSG00000196591	3066	HDAC2	HD2;RPD3;YAF1	chromatin_remodeling_factorsæ	-
ENSG00000196819	-	-	-	chromatin_remodeling_factorsæ	-
ENSG00000198558	8368	HIST1H4L	H4.k;H4/k;H4FK;HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HI	chromatin_remodeling_factorsæ	-
ENSG00000198604	11177	BAZ1A	ACF1;DKFZp586E0518;FLJ14383;WALp1;WCRF180;hACF1	chromatin_remodeling_factorsæ	-
ENSG00000198767	-	-	-	chromatin_remodeling_factorsæ	-
ENSG00000198830	3151	HMGN2	HMG17;MGC5629;MGC88718	chromatin_remodeling_factorsæ	-
ENSG00000213246	6827	SUPT4H1	SPT4;SPT4H;SUPT4H	chromatin_remodeling_factorsæ	-
ENSG00000072364	27125	AFF4	-	TF	AF-4
ENSG00000144218	3899	AFF3	-	TF	AF-4
ENSG00000155966	2334	AFF2	-	TF	AF-4
ENSG00000172493	4299	AFF1	-	TF	AF-4
ENSG00000169083	367	AR	-	TF	Androgen_receptor
ENSG00000008196	7021	TFAP2B	-	TF	AP-2
ENSG00000008197	83741	TFAP2D	-	TF	AP-2
ENSG00000087510	7022	TFAP2C	-	TF	AP-2
ENSG00000116819	339488	TFAP2E	-	TF	AP-2
ENSG00000137203	7020	TFAP2A	-	TF	AP-2
ENSG00000008083	3720	JARID2	-	TF	ARID
ENSG00000012817	8284	KDM5D	-	TF	ARID
ENSG00000032219	5926	ARID4A	-	TF	ARID
ENSG00000054267	51742	ARID4B	-	TF	ARID
ENSG00000073614	5927	KDM5A	-	TF	ARID
ENSG00000116017	1820	ARID3A	-	TF	ARID
ENSG00000117139	10765	KDM5B	-	TF	ARID
ENSG00000126012	8242	KDM5C	-	TF	ARID
ENSG00000150347	84159	ARID5B	-	TF	ARID
ENSG00000179361	10620	ARID3B	-	TF	ARID
ENSG00000189079	196528	ARID2	-	TF	ARID
ENSG00000196843	10865	ARID5A	-	TF	ARID
ENSG00000205143	138715	ARID3C	-	TF	ARID
ENSG00000117713	8289	ARID1A	-	TF	ARID
ENSG00000049618	57492	ARID1B	-	TF	ARID
ENSG00000100644	3091	HIF1A	-	TF	bHLH
ENSG00000130751	4861	NPAS1	-	TF	bHLH
ENSG00000151322	64067	NPAS3	-	TF	bHLH
ENSG00000174576	266743	NPAS4	-	TF	bHLH
ENSG00000009950	51085	MLXIPL	-	TF	bHLH
ENSG00000029153	56938	ARNTL2	-	TF	bHLH
ENSG00000059728	4084	MXD1	-	TF	bHLH
ENSG00000063438	57491	AHRR	-	TF	bHLH
ENSG00000068323	7030	TFE3	-	TF	bHLH
ENSG00000069812	54626	HES2	-	TF	bHLH
ENSG00000070444	4335	MNT	-	TF	bHLH
ENSG00000071564	6929	TCF3	-	TF	bHLH
ENSG00000072310	6720	SREBF1	-	TF	bHLH
ENSG00000090447	7023	TFAP4	-	TF	bHLH
ENSG00000101190	10732	TCFL5	-	TF	bHLH
ENSG00000104903	4066	LYL1	-	TF	bHLH
ENSG00000105698	7392	USF2	-	TF	bHLH
ENSG00000105967	22797	TFEC	-	TF	bHLH
ENSG00000106546	196	AHR	-	TF	bHLH
ENSG00000108788	6945	MLX	-	TF	bHLH
ENSG00000111046	4618	MYF6	-	TF	bHLH
ENSG00000111049	4617	MYF5	-	TF	bHLH
ENSG00000112246	6492	SIM1	-	TF	bHLH
ENSG00000112561	7942	TFEB	-	TF	bHLH
ENSG00000113196	9421	HAND1	-	TF	bHLH
ENSG00000114315	3280	HES1	-	TF	bHLH
ENSG00000115738	3398	ID2	-	TF	bHLH
ENSG00000116990	4610	MYCL1	-	TF	bHLH
ENSG00000117318	3399	ID3	-	TF	bHLH
ENSG00000118526	6943	TCF21	-	TF	bHLH
ENSG00000119950	4601	MXI1	-	TF	bHLH
ENSG00000120669	54937	SOHLH2	-	TF	bHLH
ENSG00000122180	4656	MYOG	-	TF	bHLH
ENSG00000122691	7291	TWIST1	-	TF	bHLH
ENSG00000122859	50674	NEUROG3	-	TF	bHLH
ENSG00000123095	79365	BHLHE41	-	TF	bHLH
ENSG00000123307	58158	NEUROD4	-	TF	bHLH
ENSG00000123933	10608	MXD4	-	TF	bHLH
ENSG00000125533	128408	BHLHE23	-	TF	bHLH
ENSG00000125878	6939	TCF15	-	TF	bHLH
ENSG00000125952	4149	MAX	-	TF	bHLH
ENSG00000125968	3397	ID1	-	TF	bHLH
ENSG00000129152	4654	MYOD1	-	TF	bHLH
ENSG00000133794	406	ARNTL	-	TF	bHLH
ENSG00000134107	8553	BHLHE40	-	TF	bHLH
ENSG00000134323	4613	MYCN	-	TF	bHLH
ENSG00000134852	9575	CLOCK	-	TF	bHLH
ENSG00000135547	23493	HEY2	-	TF	bHLH
ENSG00000136997	4609	MYC	-	TF	bHLH
ENSG00000139352	429	ASCL1	-	TF	bHLH
ENSG00000140262	6938	TCF12	-	TF	bHLH
ENSG00000143437	405	ARNT	-	TF	bHLH
ENSG00000144485	55502	HES6	-	TF	bHLH
ENSG00000146618	222894	FERD3L	-	TF	bHLH
ENSG00000151379	343930	MSGN1	-	TF	bHLH
ENSG00000158773	7391	USF1	-	TF	bHLH
ENSG00000162367	6886	TAL1	-	TF	bHLH
ENSG00000162992	4760	NEUROD1	-	TF	bHLH
ENSG00000163792	150921	TCF23	-	TF	bHLH
ENSG00000163909	26508	HEYL	-	TF	bHLH
ENSG00000164107	9464	HAND2	-	TF	bHLH
ENSG00000164600	63974	NEUROD6	-	TF	bHLH
ENSG00000164683	23462	HEY1	-	TF	bHLH
ENSG00000165643	402381	SOHLH1	-	TF	bHLH
ENSG00000166823	55897	MESP1	-	TF	bHLH
ENSG00000168267	256297	PTF1A	-	TF	bHLH
ENSG00000168874	84913	ATOH8	-	TF	bHLH
ENSG00000170485	4862	NPAS2	-	TF	bHLH
ENSG00000171532	4761	NEUROD2	-	TF	bHLH
ENSG00000171786	4807	NHLH1	-	TF	bHLH
ENSG00000172201	3400	ID4	-	TF	bHLH
ENSG00000172238	474	ATOH1	-	TF	bHLH
